id,media_type,short_name,long_description,slug,genres,created_by,published_by,franchises,regions
80,Comic,Deadpool,"Deadpool’s newest mercenary job has him going after the King of Monsters, who has claimed a new kingdom for his monstrous subjects…on Staten Island! But you know what they say, when you come at the king, you better not miss! The Merc with a Mouth finds himself neck deep in political intrigue, monster law, and a monster hunter out for blood! It’s like The Crown but with even more swords and monsters! Can Deadpool’s smooth charisma and deft diplomacy allow him to keep his head, or will he be royally screwed?",deadpool-2019-current,{},{},{Marvel Comics},{},
81,Game,Destiny 2: Black Armory,,destiny-2-forsaken-black-armory,"{Shooter,DLC / Expansion}",{Bungie Software},{Activision},{},"{US, AU, UK, JP}"
82,Game,Destiny 2: Shadowkeep,"Guardians will return to the Moon -- twisted, reshaped, and haunted by our past -- to confront new threats and uncover new additions to their customized arsenal in Destiny 2: Shadowkeep. Journey deep into a mysterious enemy citadel and help Eris slay these nightmares before they reach out beyond the Moon to cast humanity back into an age of darkness. 
<p>
Destiny 2: Shadowkeep, a new chapter for Destiny 2, reunites you with an old ally to confront new nightmares. This explansion adds new missions & quests,  a new dungeon, new weapons and gear to earn, an all-new raid, and more. ",destiny-2-shadowkeep,"{Shooter,DLC / Expansion}",{Bungie Software},{Bungie Software},{},"{US, AU, UK, JP}"
83,Game,Devotion,"Red Candle Games, the creators of Detention, brings you a story Inspired by East Asian folk culture. This first-person atmospheric horror game depicts the life of a family shadowed by religious belief. Explore as a 1980s Taiwan apartment-complex lost in time gradually shift into a hellish nightmare. Delve into the vows each member of the family has made, and witness their devotion. 
<p>
You step into your apartment, 80s music drifts through the air, an idol show plays on the television; a nostalgic setting surely, but what is this feeling of unease? You question this place you used to call “home,” noticing as it distorts with every shift of your eyes, anxious as your surroundings skirt the precipice of the extraordinary. As you push through each memory, uncovering the layers of each mystery, you may find buried in this home, the unsettling truth of those who lived here. “Remember what you prayed for...” ",devotion,"{Adventure,Horror}",{RedCandleGames},"{ Winking Skywalker,Indievent}",{},"{US, AU, UK, JP}"
84,Show,Diablero,"The eternal fight between good and evil among devils and angels in the colorful streets of Mexico will open the door to a fantasy world never seen before, where anything can happen. The horror and supernatural thriller centers around Father Ramiro Ventura, a priest who finds himself seeking the aid of legendary ""diablero"" or demon hunter Elvis Infante. With the aid of Nancy, a modern day superhero, this improbable trio lives in a constant battle between two worlds that exists within and sets in motion a series of events that could determine the fate of mankind. Along the way, they will trap and sell demons, fallen angels, and otherworldly creatures in a black market linked to an underground fighting circuit.",diablero,{},{},{Netflix.com},{},
85,Show,Dickinson,"Dickinson explores the constraints of society, gender, and family from the perspective of a rebellious young poet, Emily Dickinson. Set in the 19th century, Dickinson is a half-hour comedy series starring Oscar nominee Hailee Steinfeld and created by Alena Smith that finds Emily Dickinson to be an unexpected hero for our millennial era. ",dickinson,{Comedy},{},{Apple TV Plus},{},
86,Game,Dirt Rally 2.0,"DiRT Rally 2.0 is the follow up to the incredible racing game that puts players in control of a collection of the most iconic rally cars against the most challenging stages around the world. The game marks a return to the simulation style off road racing that made the original such a hit with gamers. 
<p>
DiRT Rally 2.0 will take you to six rally locations around the world where you can take on incredible hand crafted stages in a wide variety of cars from the history of the sport and modern day. The official game of the FIA World Rallycross Championship presented by Monster Energy, DiRT Rally 2.0 will also feature cars from the 2018 season as well as eight of the official WorldRX circuits at launch. ",dirt-rally-2-0,{Racing},{Codemasters},{Codemasters},{},"{US, AU, UK, JP}"
87,Comic,Doctor Doom,"Victor Von Doom – scientist, sorcerer, disfigured face, twisted soul – has been spending much of his time warning against a trilliondollar global effort to create the first “artificial” black hole. Wrestling with visions of an entirely different life…a better future…DOCTOR DOOM finds himself at a crossroads. (what is he questioning?) A catastrophic act of terrorism kills thousands, and the prime suspect is… DOOM? Victor will have to push his unexplained thoughts aside and focus on remaining alive as the title of “Most Wanted Man” is thrust upon him….Left with no homeland, no armies, no allies, indeed, nothing at all, will the reign of Doctor Doom come to an abrupt halt?",doctor-doom,{},{},{Marvel Comics},{},
88,Show,Dogs,"An elegant, engaging and cinematic verite documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends. The series tracks six incredible stories from across the globe including Syria, Japan, Costa Rica, Italy and the US—each proving that the unconditional love one feels for their dog is a beautiful universal truth. ",dogs,{Documentary},{},{Netflix.com},{},
89,Movie,Dolemite Is My Name,"Stung by a string of showbiz failures, floundering comedian Rudy Ray Moore (Eddie Murphy) has an epiphany that turns him into a word-of-mouth sensation: step onstage as someone else. Borrowing from the street mythology of 1970s Los Angeles, Moore assumes the persona of Dolemite, a pimp with a cane and an arsenal of obscene fables. However, his ambitions exceed selling bootleg records deemed too racy for mainstream radio stations to play. Moore convinces a social justice-minded dramatist (Keegan-Michael Key) to write his alter ego a film, incorporating kung fu, car chases, and Lady Reed (Da’Vine Joy Randolph), an ex-backup singer who becomes his unexpected comedic foil. Despite clashing with his pretentious director, D’Urville Martin (Wesley Snipes), and countless production hurdles at their studio in the dilapidated Dunbar Hotel, Moore’s Dolemite becomes a runaway box office smash and a defining movie of the Blaxploitation era.",dolemite-is-my-name,"{Comedy,Drama}",{Netflix},{Netflix},{},
90,Show,Doom Patrol,"Doom Patrol is a re-imagining of one of DC’s most beloved group of outcast Super Heroes: Robotman, Negative Man, Elasti-Girl and Crazy Jane, led by modern-day mad scientist Dr. Niles Caulder (The Chief). The Doom Patrol's members each suffered horrible accidents that gave them superhuman abilities — but also left them scarred and disfigured. Traumatized and downtrodden, the team found purpose through The Chief, who brought them together to investigate the weirdest phenomena in existence — and to protect Earth from what they find. Part support group, part Super Hero team, the Doom Patrol is a band of super-powered freaks who fight for a world that wants nothing to do with them. Picking up after the events of Titans, Doom Patrol will find these reluctant heroes in a place they never expected to be, called to action by none other than Cyborg, who comes to them with a mission hard to refuse, but with a warning that is hard to ignore: their lives will never, ever be the same.",doom-patrol-tv-series,{Drama},{},{DC Universe},{},
91,Game,Doraemon: Story of Seasons,"Everyone's favorite robotic cat from the 22nd Century is here in Doraemon Story of Seasons, a cross-over between the world of the classic manga/anime series and the idyllic Story of Seasons gaming franchise. Nobita and other familiar faces from the Doraemon franchise will take part in a heart-warming journey across an original town, enjoying traditional Story of Seasons activities like growing crops, cultivating their farm, exploring, bug hunting and many more. Players will develop the town and their own farm while interacting and forming bonds with the other inhabitants. Of course, Doraemon’s secret gadgets will be there to help them along the way! See what new gadgets will help Noby be the best boy he can be! ",doraemon-story-of-seasons,"{Adventure,Simulation}",{},{Bandai Namco Games},{},"{US, AU, UK, JP}"
92,Show,Dracula,The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes -- and bring his vulnerability into the light.,dracula-2020,{Drama},{},{Netflix.com},{},
93,Game,Dragon Ball Z: Kakarot,"Determination, Despair, and Hope -- Discover the story of the mysterious Dragon Balls in Dragon Ball Z: Kakarot! Experience the story of Dragon Ball Z from epic events to light-hearted side quests, including never-before-seen story moments that answer some burning questions of Dragon Ball lore for the first time! Play through iconic Dragon Ball Z battles on a scale unlike any other. Fight across vast battlefields with destructible environments and experience epic boss battles against the most iconic foes (Raditz, Frieza, Cell etc…). Increase your power level through RPG mechanics and rise to the challenge! Beyond the epic battles, experience life in the Dragon Ball Z world as you fight, fish, eat, and train with Goku, Gohan, Vegeta and others. Explore the new areas and adventures as you advance through the story and form powerful bonds with other heroes from the Dragon Ball Z universe. ",dragon-ball-project-z,"{RPG,Action}",{CyberConnect2},{Bandai Namco Games},{Dragon Ball},"{US, AU, UK, JP}"
94,Movie,Earthquake Bird,"A psychologically unsettling and atmospheric thriller set in 1989 Tokyo from director Wash Westmoreland, Earthquake Bird follows Lucy Fly (Alicia Vikander), an enigmatic ex-pat haunted by a painful past, who enters into an intense relationship with Teiji (Naoki Kobayashi), a handsome yet similarly troubled local photographer. Lucy’s imperturbable exterior begins to crack when a naive newcomer, Lily Bridges (Riley Keough), becomes entangled in their lives and ends up missing - suspected dead.",earthquake-bird,{Drama},{},{Netflix},{},
95,Comic,Edge of Spider-Geddon,"Spider-Punk is back and better than ever. After SPIDER-VERSE, Hobie Brown was a Web Warrior, but that didn’t mean things back in his universe were solved. The writer of the SPIDER-PUNK story in SPIDER-VERSE is back and joined by VENOM’S Gerardo Sandoval! Spider-Punk’s Earth is under attack both on the ground and from space, meaning his responsibility seems to outweigh his power. Don’t miss this first shot of the SPIDER-EVENT of 2018!",edge-of-spider-geddon,{},{},{Marvel Comics},{},
96,Movie,Breaking Bad: El Camino,"Produced by Vince Gilligan, El Camino: A Breaking Bad Movie reunites fans with Jesse Pinkman (Emmy-winner Aaron Paul). In the wake of his dramatic escape from captivity, Jesse must come to terms with his past in order to forge some kind of future. ",greenbrier,{Drama},{},{Netflix},{},
97,Movie,Eli,"With his desperate parents in tow, an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy. ",eli,{Horror},{},{Netflix},{},
98,Show,Elite,"Las Encinas, the best and most exclusive school in Spain where the elite send their children to study, is also where three working class kids have just been admitted after their academy was destroyed by an earthquake and the local council divided up the students between the different schools in the area. The clash between those who have everything and those who have nothing to lose creates the perfect storm that ultimately ends in a murder. Who is behind the crime?",elite,{Drama},{},{Netflix.com},{},
99,Show,Emergence,"A character-driven genre thriller, ""Emergence"" is about a police chief who takes in a young child she finds near the site of a mysterious accident who has no memory of what has happened. The investigation draws her into a conspiracy larger than she ever imagined, and the child's identity is at the center of it all.

<p>The cast includes Allison Tolman as Jo, Alexa Swinton as Piper, Owain Yeoman as Benny, Ashley Aufderheide as Bree, Robert Bailey Jr. as Officer Chris, Zabryna Guevara as Abby with Donald Faison as Alex and Clancy Brown as Ed.",emergence,{Drama},{},{ABC},{},
100,Show,Encore!,"Executive producer Kristen Bell brings together former castmates of a high school musical, tasking them with re-creating their original performance in high school reunion like no other. Emotions run high as the former students face faded friendships, former flames, self-doubt, and killer choreography. Through it all, these unlikely groups of friends—with the help of Broadway’s best—just might pull off a standing-ovation-worthy performance of beloved musicals like ""The Sound of Music,"" ""Beauty and the Beast,"" ""Annie"" and more.",encore,{Reality},{},{Disney Plus},{},
101,Comic,Event Leviathan,The groundbreaking and always-inventive team of writer Brian Michael Bendis and artist Alex Maleev reunite on a mystery thriller that stretches across the DC Universe and touches every character from Batman to Superman to the Question to Talia al Ghul.,event-leviathan,{},{},{DC Comics},{},
102,Show,Evil,"Evil is a psychological mystery that examines science vs. religion and the origins of evil. The series focuses on a skeptical female forensic psychologist who joins a priest-in-training and a carpenter to investigate and assess the Church’s backlog of supposed miracles, demonic possessions and unexplained phenomena.

<p>Evil stars Katja Herbers as Kristen Bouchard, Mike Colter as David Acosta, Aasif Mandvi as Ben Shroff, Michael Emerson as Leland Townsend, Brooklyn Shuck as Lynn Bouchard, Skylar Gray as Lila Bouchard, Maddy Crocco as Lexis Bouchard and Dalya Knapp as Laura Bouchard.",evil,{Drama},{},{CBS},{},
103,Game,F1 2019,"The official videogame of the 2019 FIA Formula One World Championship, F1 2019 is the most ambitious release in the franchise history, building on the success of previous iterations to deliver an experience that rivals the quality and production values of the real-life sport. ",f1-2019,{Racing},{},{Codemasters},{},"{US, AU, UK, JP}"
104,Comic,Fantastic Four,"Since the end of SECRET WARS, there’s been a gap in the Marvel Universe. A void no other team can fill. And it’s time for the world to move on. But can it? A life-changing decision by the Thing! A momentous declaration by the Human Torch! A clarion call-to-arms that summons Doctor Doom! And a signal in the sky that heralds the return of hope to the Marvel Universe! All this, and Alicia Masters adopts kittens! So cute! Plus, the Impossible Man!",fantastic-four-2018,{},{},{Marvel Comics},{},
105,Game,Far Cry: New Dawn,"Set in a breathtaking post-apocalyptic world seventeen years after a global nuclear catastrophe, Far Cry New Dawn brings players into a wildly beautiful and radically transformed Hope County, Montana. Life has begun to emerge from the chaos, but the survivors now face a new threat -- the merciless Highwaymen and their leaders The Twins, Mickey and Lou. Raised in a lawless frontier, the twin sisters and their band of scavengers live only for today and have descended upon Hope County to take all available resources. To push back this devastating threat, players must help the Survivors grow stronger, craft a makeshift arsenal and form unexpected alliances to fight for survival in a dangerous new frontier. 
<p>
At the Homebase, players will prepare to face off against the threat of the Highwaymen. The Homebase, called Prosperity, is the stronghold of the Survivors. Here, players can craft makeshift weapons and vehicles and train their Guns for Hire -- including new and familiar faces. As players progress, they can upgrade the Homebase for more powerful weapons and gear. The Homebase is also a launchpad to Expeditions, where for the first time in Far Cry, the adventure is more than local. Set in memorable locations across the US, from wetlands to canyons and more, Expeditions drop players into unique locations where they must grab a package of valuable materials and get out, quickly. ",far-cry-new-dawn,{Shooter},"{Ubisoft Bucharest,Ubisoft Montreal,Ubisoft Kiev,Ubisoft Shanghai}",{Ubisoft},{},"{US, AU, UK, JP}"
106,Comic,Far Sector,"N.K. Jemisin, the acclaimed, award-winning author of The Broken Earth and Inheritance science fiction trilogies, makes her comic book debut with bestselling Naomi artist Jamal Campbell as they thrust you into a stunning sci-fi murder mystery on the other side of the universe!

<p>For the past six months, newly chosen Green Lantern Sojourner ""Jo"" Mullein has been protecting the City Enduring, a massive metropolis of 20 billion people. The city has maintained peace for over 500 years by stripping its citizens of their ability to feel. As a result, violent crime is virtually unheard of, and murder is nonexistent.  That’s all about to change in this new maxiseries that gives a DC Young Animal spin to the legacy of the Green Lanterns!",far-sector,{},{},{DC Comics},{},
107,Game,FIFA 20,"Powered by Frostbite, EA Sports FIFA 20 brings two sides of The World’s Game to life -- the prestige of the professional stage and an all-new authentic street football experience in EA Sports Volta. FIFA 20 innovates across the game, Football Intelligence unlocks an unprecedented platform for gameplay realism, FIFA Ultimate Team offers more ways to build your dream squad, and EA Sports Volta returns the game to the street, with an authentic form of small-sided football. ",fifa-20,{Sports},{EA Canada},{Electronic Arts},{},"{US, AU, UK, JP}"
108,Game,FIFA 20,"The beautiful game returns in the 2020 edition of EA Sports' footie franchise. FIFA 20: Legacy Edition features the latest kits, clubs, and squads from some of top leagues around the world. It will also feature some of the world’s most famous stadiums, including some brand new to FIFA 20. Gameplay features and modes have parity with FIFA 19 on Nintendo Switch. ",fifa-20-nintendo-switch,{Sports},{EA Canada},{Electronic Arts},{},"{US, AU, UK, JP}"
109,Game,Final Fantasy XIV: Shadowbringers,"Final Fantasy XIV Online: Shadowbringers is the third major expansion pack to the epic MMORPG Final Fantasy XIV Online: A Realm Reborn. 
<p>
Shadowbringers will take players on new adventures to battle against the threats to the realm as they become Warriors of Darkness. Players can expect to find an abundance of new content, including a new player race, multiple new jobs, an increased level cap up, sprawling new areas, adjustments to the battle system, as well as a variety of new battle, crafter and gatherer content. In addition to these core features, a number of new systems will be introduced with Shadowbringers. ",final-fantasy-xiv-online-shadowbringers,"{DLC / Expansion,RPG}",{},{},{Final Fantasy},"{US, AU, UK, JP}"
110,Show,Final Space,An inept astronaut named Gary Goodspeed works with a growing cast of shipmates to save the universe from a powerful telekinetic creature known as the Lord Commander.,final-space,{Animation},{},{Adult Swim},{},
111,Comic,Firefly,"From Joss Whedon, buried histories and secret identities are revealed, along with all the heist-takin', authority-dodgin', death-defyin' space-cowboyin' you've been missing from your life, as this ragtag crew of mercenaries, outlaws, and fugitives travel the stars in search of their next adventure in these sequels to the hit Firefly television series and Serenity film.",firefly-the-comic-book-series,{Action},{},{Boom Studios},{},
112,Game,Football Manager 2020,"Manage your club, your way -- every decision counts in Football Manager 2020. New features reward planning and progression, empowering managers to develop their prospects like never before as well as both the club’s and your own unique managerial identity.  They say football is a game of dreams. Well, managers are a special breed of dreamers... 
<p>
Take full control of your youth team operations in a new all-encompassing hub. Nurture your young stars from the moment they arrive at your club and through the youth ranks until they’re ready for first-team action. Develop a culture, work with the board to achieve ongoing objectives and plot a course for your club to progress in seasons to come. FM 2020 also has whole new way to define a player’s standing in your squad. Build in current and future playing time across the length of a contract, defining a clear pathway from Fringe Player to Star Player and everything in between. On the pitch, redesigned player and manager models, improved lighting and overhauled field visuals combine to create the most realistic and best-looking match experience to date. ",football-manager-2020,"{Simulation,Sports}",{Sports Interactive (SI Interactive)},{SEGA},{},"{US, AU, UK, JP}"
113,Show,For All Mankind,"Told through the lives of astronauts, engineers and their families, ""For All Mankind"" imagines a world in which the global space race never ended and the space program remained the cultural centerpiece of America's hopes and dreams.  The series is developed by Battlestar Galactica showrunner Ron Moore.",for-all-mankind,{Sci-Fi},{},{Apple TV Plus},{},
114,Show,Forky Asks a Question,"Forky, in Disney and Pixar’s “Toy Story 4,” is a craft project created from trash, has important questions about how the world works, such as: What is love? What is time? And of course, the deepest question of all, What is cheese? He explores all of these questions and more in a collection of 10 shorts.",forky-asks-a-question,{Animation},{},{Disney Plus},{},
115,Game,Forza Horizon 4: Fortune Island,"Seek your fortune in the most treacherous Horizon expansion yet, where you will conquer extreme terrain, lightning storms, and perilous roads in search of hidden treasure. In Forza Horizon 4: Fortune Island, embark on a new campaign, solve Treasure Hunt riddles, and carve your own path in new Trailblazer PR Stunts. Tackle the island’s twisting mountain switchbacks, ocean cliffside roads and rough terrain in 10 exciting new cars including the 2019 Lamborghini Urus, 2017 Ram Rebel TRX Concept, and the 2018 BMW M5. Earn 24 Achievements and 500 GS. ",forza-horizon-4-fortune-island,"{DLC / Expansion,Racing}","{Playground Games,Turn 10 Studios}",{Microsoft},{},"{US, AU, UK, JP}"
116,Game,Forza Horizon 4: LEGO Speed Champions,,forza-horizon-4-lego-speed-champions,{Racing},"{Playground Games,Turn 10 Studios}",{Microsoft},{LEGO},"{US, AU, UK, JP}"
117,Movie,Framing John DeLorean,"Money, power, politics, drugs, scandal, and fast cars. The incredible story of John DeLorean is the stuff of a Hollywood screenwriter’s dreams. But who was the real John DeLorean? To some, he was a renegade visionary who revolutionized the automobile industry. To others, he was the ultimate con man. For the first time, FRAMING JOHN DELOREAN recounts the extraordinary life and legend of the controversial automaker, tracing his meteoric rise through the ranks of General Motors, his obsessive quest to build a sports car that would conquer the world, and his shocking fall from grace on charges of cocaine trafficking. Interweaving a treasure trove of archival footage with dramatic vignettes starring Alec Baldwin as DeLorean, directors Sheena M. Joyce and Don Argott (The Art of the Steal) show a gripping look at a man who gambled everything in his pursuit of the American Dream.",framing-john-delorean,{Documentary},{},{Sundance Selects},{},
118,Comic,Friendly Neighborhood Spider-Man,"Spider-Man is the worst neighbor EVER! There are always crazy villains and property damage and drama and…and he CATCHES the villains. And he tries to fix the damage and he helps carry your groceries and actually that property damage keeps the rents down. You know what? Spider-Man is the best neighbor ever and this book will give you a closer look at Spider-Man’s (and Peter Parker’s) neighborhood than any book ever. Also, it wouldn’t be a Spider-Man adventure without a threat that could destroy not only Spider-Man, but all his neighbors.",friendly-neighborhood-spider-man-2019,{},{},{Marvel Comics},{},
119,Movie,FYRE,"An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival. Created by Billy McFarland and rapper Ja Rule, Fyre was promoted as a luxury music festival on a private island in the Bahamas featuring bikini-clad supermodels, A-List musical performances and posh amenities. Guests arrived to discover the reality was far from the promises.

<p>Chris Smith, the director behind the Emmy Award Nominated documentary Jim & Andy: The Great Beyond, gives a first-hand look into disastrous crash of Fyre as told by the organizers themselves. ",fyre-the-greatest-party-that-never-happened,{Documentary},{},{Netflix},{},
120,Comic,G.I. Joe,Cobra is in control and is brainwashing indivisuals into committing acts of espionage and sabotage.,g-i-joe-2019,{Action},{},{IDW Publishing},{},
121,Game,Ghostbusters Remastered,"With Ghostbusters: The Video Game Remastered, the Ghostbusters are back in time to celebrate the 35th anniversary of Ghostbusters! The real Ghostbusters return in this videogame sequel to the Ghostbusters movies. Stars Harold Ramis, Dan Aykroyd, Ernie Hudson and Bill Murray reunite to reprise their roles as Spengler, Stantz, Zeddmore and Venkman. Supporting the ghost busting crew are the talents of Annie Potts, Brian Doyle Murray and William Atherton. 
<p>
With Manhattain newly overrun by ghosts and other supernatural creatures, it's up to you to take on the role of a new recruit joining the original, famous Ghostbusters team. Equipped with a variety of unique weapons and gadgets, you will hunt, fight and capture a wide range of uncanny phantasms and demons in a funny and frightening battle to save New York City from its latest paranormal plague. Scan and analyze targets with the P.K.E. Meter and Paragoggles, then strap on your Proton Pack to wear ghosts down with the blast stream before wrangling them with the capture stream. Only the Ghostbusters can drive this evil back to whatever dimension it crawled from and save the Big Apple! ",ghostbusters-the-video-game-remastered,{Action},"{Saber Interactive,Terminal Reality}",{Mad Dog},{},"{US, AU, UK, JP}"
122,Show,,"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival. ",ghoul,{Horror},{},{Netflix.com},{},
123,Comic,Go Go Power Rangers: Forever Rangers,"The untold, personal story of what happens to Jason, Kim, Trini, Zack, and Billy following in the days after they first became Power Rangers. Fighting evil is hard, but surviving high school may be even harder—welcome to real life in Angel Grove.",go-go-power-rangers-forever-rangers,{},{},{Boom Studios},{},
124,Game,Granblue Fantasy Versus,"In Granblue Fantasy: Versus, power, skill, and spirit collide in a quest to find the true champion of the ring. In this fighting game set in the world of Granblue Fantasy, players can take on AI opponents or fight against human opponents in local or online two-player matches. Characters entering into battle in Granblue Fantasy: Versus include Gran, the protagonist of Granblue Fantasy, who travels the skies with his winged companion Vyrn; Lyria, the mysterious girl who saved his life; Katalina, an ex-imperial knight sworn to protect those she holds dear; Charlotta, the virtuous  captain of the Lumiel Order of Holy Knights; Lancelot, a dual-wielding master swordsman; and lastly, Ferry, a ghost with a whip and spectral pets. ",granblue-fantasy-versus,{Fighting},{ARC System Works},"{Cygames,Marvelous Entertainment,Xseed Games}",{},"{US, AU, UK, JP}"
125,Movie,Green Book,"When Tony Lip (Viggo Mortensen), a bouncer from an Italian-American neighborhood in the Bronx, is hired to drive Dr. Don Shirley (Mahershala Ali), a world-class Black pianist, on a concert tour from Manhattan to the Deep South, they must rely on ""The Green Book"" to guide them to the few establishments that were then safe for African-Americans.  Confronted with racism, danger-as well as unexpected humanity and humor-they are forced to set aside differences to survive and thrive on the journey of a lifetime.",green-book,{Drama},{DreamWorks Pictures},{Universal Pictures},{},
126,Game,Grid,"The fourth game in the popular racing series, Grid delivers intense wheel-to-wheel racing action, spanning four continents in some of the world’s most famous city streets and race circuits. Choose cars from GT, Touring, Stock, Muscle, Super-Modified and more classes across race types including Circuit, Street Racing, Ovals, Hot Laps, Point-to-Point and World Time Attack. 
<p>
Handling in Grid is designed around a learning curve that appeals to both casual arcade gamers through to the core simulation racers. Progression is rewarded through liveries, player cards, teammates, achievements and driving accolades. AI drivers push the player to their limits to earn a place on the podium and ultimate victory in the Grid World Series Championship. Realistic damage affects both the car’s performance and handling. Make too much contact with the same racer and you will see them emerge as a nemesis who will stop at nothing to get their revenge in the race. ",grid-2019,{Racing},{Codemasters},{Deep Silver},{},"{US, AU, UK, JP}"
127,Comic,Guardians of the Galaxy,"Once, they were a team of misfits. Now they’re a family, and they’ve earned their peace. But the universe is not a peaceful place -- and it’s only getting worse. The Great Empires are in turmoil. The rule of law is dead. And amidst the chaos, the Gods of Olympus have returned -- harbingers of a new age of war, reborn to burn their mark on the stars themselves. Someone has to guard the galaxy - but who will accept the mission? And will they survive it? Al Ewing and Juann Cabal bring you in on the ground floor of a whole Marvel Universe of action and suspense!",guardians-of-the-galaxy-2020,{},{},{Marvel Comics},{},
128,Movie,Guns Akimbo,"Guns Akimbo watches a nerdy video game developer (Daniel Radcliffe) become the next contestant in an illegal live-streamed death match. Miles’ bit-by-bit life  takes a dramatic turn when he inadvertently gets caught up as the next contestant with SKIZM, an underground gang live-streaming real-life death matches.  While Miles excels at running away from everything, that won’t help him outlast Nix, a killer at the top of her game. ",guns-akimbo,"{Thriller,Action Comedy}",{Occupant Entertainment},{Saban Films},{},
129,Game,Hades,Defy the god of death as you hack and slash your way out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion and Transistor.,hades,"{RPG,Action,Roguelike}",{Supergiant Games},{Supergiant Games},{},"{US, AU, UK, JP}"
130,Show,Hanna,"Raised in total seclusion in the remote woods of Eastern Europe, Hanna (Esme Creed-Miles) has spent her entire young life training to fight those who hunt her and her mercenary father, Erik Heller (Joel Kinnaman). Her survivalist skills are finally tested when she and Erik are separated upon their discovery by a rogue CIA operative, Marissa Wiegler (Mireille Enos) and her team of agents. Hanna has no choice but to embark on a perilous journey alone across Europe as she seeks to reunite with her father and evade - and ultimately take down - the dangerous agents who target them. Hanna's isolated upbringing offers particularly daunting physical and emotional challenges as she is forced to navigate an ever-deepening conspiracy - one that could be the undoing of both her and her father.",hanna,{Drama},{},{Amazon Prime},{},
131,Movie,Harriet,"Based on the thrilling and inspirational life of an iconic American freedom fighter, Harriet tells the extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America’s greatest heroes. Her courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.",harriet,{Drama},{},{Focus Features},{},
132,Comic,Heroes in Crisis,"There’s a new kind of crisis threatening the heroes of the DC Universe, ripped from real-world headlines by C.I.A.-operative-turned-comics-writer Tom King: How does a superhero handle PTSD? Welcome to Sanctuary, an ultra-secret hospital for superheroes who’ve been traumatized by crime-fighting and cosmic combat. But something goes inexplicably wrong when many patients wind up dead, with two well-known operators as the prime suspects: Harley Quinn and Booster Gold!  It’s up to the DC Trinity of Superman, Wonder Woman and Batman to investigate—but can they get the job done in the face of overwhelming opposition?",heroes-in-crisis,{},{},{DC Comics},{},
133,Show,High Fidelity,"High Fidelity is a comedy series based on the Nick Hornby novel, which also spawned a hit movie in 2000. ",high-fidelity,{Comedy},{},{Disney Plus},{},
134,Movie,Honey Boy,"From a screenplay by Shia LaBeouf, based on his own experiences, filmmaker Alma Har'el brings to life a young actor's stormy childhood and early adult years as he struggles to reconcile with his father through cinema and dreams. Fictionalizing his childhood’s ascent to stardom, and subsequent adult crash-landing into rehab and recovery, Har'el casts Noah Jupe and Lucas Hedges as Otis Lort, navigating different stages in a frenetic career. LaBeouf takes on the daring and therapeutic challenge of playing a version of his own father, an ex-rodeo clown and a felon. Artist and musician FKA twigs makes her feature-film debut, playing neighbor and kindred spirit to the younger Otis in their garden-court motel home. Har'el's feature narrative debut is a one-of-a-kind collaboration between filmmaker and subject, exploring art as therapy and imagination as hope.",honey-boy,{Drama},{},{Amazon Studios},{},
135,Comic,House of X,"In House of X, Charles Xavier reveals his master plan for mutantkind … one that will bring mutants out of the shadow of mankind and into the light once more. ",house-of-x,{},{},{Marvel Comics},{},
136,Movie,Hustlers,"Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.  The film is inspired by the article published by New York Magazine entitled ""The Hustlers at Scores"" written by Jessica Pressler.",hustlers,{Drama},{},{STX Entertainment},{},
137,Movie,I Am Mother,"Shortly after humanity’s extinction, in a high-tech bunker deep beneath the earth’s surface, a robot named Mother commences her protocol. Designed to repopulate the earth with humans born from test-tube embryos, Mother raises a baby girl to become an intelligent, compassionate teenager (Clara Rugaard). But the arrival of a wounded woman (Hilary Swank) at the bunker door soon casts doubt on Mother’s account of the earth’s fate and threatens the unique bond between Mother and her “daughter.”",i-am-mother,"{Sci-Fi,Thriller}",{},{Netflix},{},
138,Movie,I Lost My Body,"A cut-off hand escapes from a dissection lab with one crucial goal: to get back to its body. As it scrambles through the pitfalls of Paris, it remembers its life with the young man it was once attached to… until they met Gabrielle.",i-lost-my-body,{Animation},{},{Netflix},{},
139,Movie,If Beale Street Could Talk,"Set in early-1970s Harlem, If Beale Street Could Talk is a timeless and moving love story of both a couple's unbreakable bond and the African-American family's empowering embrace, as told through the eyes of 19-year-old Tish Rivers (KiKi Layne). A daughter and wife-to-be, Tish vividly recalls the passion, respect and trust that have connected her and her artist fiancé Alonzo Hunt, who goes by the nickname Fonny (Stephan James). Friends since childhood, the devoted couple dream of a future together but their plans are derailed when Fonny is arrested for a crime he did not commit.",if-beale-street-could-talk,{Drama},{},{Annapurna Pictures},{},
